recipe_name,ingredients,cuisine,meal_type,cooking_time,instructions
Mapo Tofu,tofu ground pork soy sauce ginger garlic chili oil,Chinese,dinner,20,"1. Heat oil and stir-fry ground pork. 2. Add garlic and ginger. 3. Cut soft tofu into cubes. 4. Add tofu to pork carefully. 5. Pour in soy sauce and broth. 6. Add Sichuan peppercorns and chili oil. 7. Simmer for 10 minutes. 8. Thicken with cornstarch slurry if desired. 9. Serve over steamed rice."
Fried Rice,cooked rice soy sauce eggs vegetables sesame oil,Chinese,lunch,15,"1. Heat oil in a wok or large pan. 2. Scramble eggs and remove from pan. 3. Add cold cooked rice and break up clumps. 4. Stir-fry for 3-4 minutes. 5. Add vegetables and stir-fry. 6. Pour soy sauce and mix well. 7. Add eggs back in. 8. Drizzle with sesame oil and serve."
Greek Salad,tomatoes cucumber olives feta cheese onion olive oil,Mediterranean,lunch,10,"1. Chop tomatoes and cucumbers. 2. Slice red onion thinly. 3. Combine tomatoes, cucumbers, onions and olives in a bowl. 4. Cube feta cheese. 5. Add feta to the bowl. 6. Drizzle with olive oil and vinegar. 7. Season with salt and pepper. 8. Toss gently and serve immediately."
Hummus,chickpeas tahini lemon garlic olive oil,Mediterranean,snack,15,"1. Drain canned chickpeas, reserving some liquid. 2. Add chickpeas to food processor. 3. Add tahini, garlic, and lemon juice. 4. Blend until smooth, adding reserved liquid as needed. 5. Season with salt to taste. 6. Transfer to a serving bowl. 7. Drizzle with olive oil. 8. Garnish with paprika and serve with pita."
Pasta Primavera,pasta seasonal vegetables garlic olive oil parmesan basil,Italian,dinner,25,"1. Boil pasta according to package directions. 2. Heat olive oil in a large pan. 3. Add garlic and cook for 30 seconds. 4. Add seasonal vegetables like zucchini, carrots, bell peppers. 5. Sauté until tender-crisp, about 8 minutes. 6. Toss with drained pasta. 7. Add fresh basil and parmesan. 8. Season with salt and pepper to taste."
Tikka Masala,chicken yogurt tomato cream ginger garlic spices,Indian,dinner,40,"1. Marinate chicken in yogurt and spices for 2 hours. 2. Grill or bake chicken at 200°C for 20 minutes. 3. In a pan, sauté onions until golden. 4. Add tomato puree and cook until oil separates. 5. Add cream and cooked chicken. 6. Simmer for 15 minutes. 7. Garnish with cilantro. 8. Serve with naan or rice."
Chow Mein,egg noodles cabbage carrots soy sauce sesame oil garlic,Chinese,lunch,20,"1. Boil noodles and drain. 2. Heat oil in a wok. 3. Stir-fry garlic for 30 seconds. 4. Add cabbage and carrots. 5. Stir-fry for 3-4 minutes. 6. Add noodles and soy sauce. 7. Toss well for 2-3 minutes. 8. Drizzle with sesmo oil and serve hot."
Ratatouille,eggplant zucchini bell pepper tomato onion garlic herbs,Mediterranean,dinner,45,"1. Chop eggplant, zucchini, bell pepper, tomato and onion. 2. Heat olive oil in a large pot. 3. Sauté onion and garlic. 4. Add other vegetables. 5. Add tomato sauce and herbs. 6. Simmer for 35-40 minutes until vegetables are tender. 7. Season with salt and pepper. 8. Serve warm or at room temperature."
Dal Makhani,black lentils red kidney beans butter cream tomato ginger garlic,Indian,lunch,60,"1. Soak lentils and kidney beans overnight. 2. Pressure cook until tender. 3. In a pan, melt butter and add tomato puree. 4. Add ginger and garlic. 5. Add cooked lentils and beans. 6. Add cream and simmer for 15-20 minutes. 7. Season with salt and garam masala. 8. Garnish with cilantro and serve with naan."
Tandoori Chicken,chicken yogurt tandoori spice lemon,Indian,lunch,30,"1. Mix yogurt with tandoori spice powder. 2. Marinate chicken pieces for 2 hours. 3. Preheat oven to 200°C. 4. Place chicken on a baking tray. 5. Bake for 25-30 minutes until cooked through. 6. The chicken should be charred at edges. 7. Squeeze lemon juice before serving. 8. Serve with mint chutney and lemon."
Spring Rolls,rice paper shrimp vegetables cilantro mint,Asian,snack,20,"1. Soak rice paper in warm water. 2. Prepare cooked shrimp and shredded vegetables. 3. Place a rice paper on a damp cloth. 4. Add shrimp, vegetables, cilantro and mint. 5. Fold sides and roll tightly. 6. Place seam side down on a plate. 7. Serve with peanut dipping sauce. 8. Refrigerate until ready to serve."
Samosas,potato peas onion pastry cumin turmeric,Indian,snack,45,"1. Boil and mash potatoes. 2. Mix with peas, onion and spices. 3. Make pastry dough with flour and ghee. 4. Cut into triangles and fill with potato mixture. 5. Fold edges to seal. 6. Heat oil for deep frying. 7. Fry samosas until golden brown. 8. Serve with tamarind chutney."
Risotto,rice arborio wine vegetable broth butter parmesan onion,Italian,dinner,30,"1. Heat vegetable broth in a separate pot. 2. Sauté diced onion in butter until soft. 3. Add arborio rice and toast for 2 minutes. 4. Add white wine and stir until absorbed. 5. Add warm broth one ladle at a time, stirring constantly. 6. Continue adding broth until rice is creamy and al dente. 7. Stir in butter and parmesan. 8. Season with salt and pepper. 9. Serve immediately."
